==== Histogram : hg3, FitMethod: fitNGauss, BG = 50 
 ==== Chi-Sq : 3158081.622719 , NDF : 3928, BG-Sigma2 : 23161.545251 
 ============= Fit Result: reduced Chi-squared = 0.034712
 56 , count:      549( 34), mean: 2322.8000(  0.0000), sigma:   5.3000(  0.0000) 
 57 , count:       86( 24), mean: 2332.2000(  0.0000), sigma:   4.0000(  0.0000) 
 58 , count:      348( 28), mean: 2364.8000(  0.0000), sigma:   3.8000(  0.0000) 
 59 , count:       34( 22), mean: 2376.2000(  0.0000), sigma:   3.8000(  0.0000) 
 60 , count:      167( 27), mean: 2384.7000(  0.0000), sigma:   3.8000(  0.0000) 
 61 , count:      102( 24), mean: 2484.0000(  0.0000), sigma:   4.5000(  0.0000) 
 62 , count:      138( 23), mean: 2577.8000(  0.0000), sigma:   5.0000(  0.0000) 
 63 , count:      717( 34), mean: 2668.2000(  0.0000), sigma:   6.2000(  0.0000) 
 64 , count:      141( 25), mean: 2681.4000(  0.0000), sigma:   4.4000(  0.0000) 
 65 , count:      141( 22), mean: 2804.0000(  0.0000), sigma:   4.6000(  0.0000) 
 66 , count:       86( 20), mean: 2824.2000(  0.0000), sigma:   5.0000(  0.0000) 
 67 , count:      190( 22), mean: 2973.2000(  0.0000), sigma:   5.6000(  0.0000) 
 68 , count:       42( 18), mean: 3095.7000(  0.0000), sigma:   6.8000(  0.0000) 
 69 , count:      229( 23), mean: 3143.6000(  0.0000), sigma:   5.4000(  0.0000) 
 70 , count:       83( 17), mean: 3319.0000(  0.0000), sigma:   4.4000(  0.0000) 
 71 , count:       45( 15), mean: 3551.1000(  0.0000), sigma:   5.8000(  0.0000)
 
