# a0 a2 a4 a6 delta sigma
1.00000 0.41600 -0.20524 0.00000 0.00 0.94
1.00000 0.41445 -0.20298 0.00000 0.00 0.94
1.00000 0.41290 -0.20074 0.00000 0.00 0.94
1.00000 0.41136 -0.19854 0.00000 0.00 0.95
1.00000 0.40982 -0.19636 0.00000 0.00 0.95
1.00000 0.40828 -0.19420 0.00000 0.00 0.95
1.00000 0.40675 -0.19208 0.00000 0.00 0.95
1.00000 0.40522 -0.18998 0.00000 0.00 0.96
1.00000 0.40369 -0.18790 0.00000 0.00 0.96
1.00000 0.40217 -0.18585 0.00000 0.00 0.96
1.00000 0.40065 -0.18383 0.00000 0.00 0.97
1.00000 0.39913 -0.18183 0.00000 0.00 0.97
1.00000 0.39762 -0.17986 0.00000 0.00 0.97
1.00000 0.39611 -0.17791 0.00000 0.00 0.98
1.00000 0.39460 -0.17599 0.00000 0.00 0.98
1.00000 0.39310 -0.17409 0.00000 0.00 0.98
1.00000 0.39161 -0.17221 0.00000 0.00 0.98
1.00000 0.39011 -0.17036 0.00000 0.00 0.99
1.00000 0.38862 -0.16853 0.00000 0.00 0.99
1.00000 0.38713 -0.16672 0.00000 0.00 0.99
1.00000 0.38565 -0.16493 0.00000 0.00 1.00
1.00000 0.38417 -0.16317 0.00000 0.00 1.00
1.00000 0.38270 -0.16142 0.00000 0.00 1.00
1.00000 0.38123 -0.15970 0.00000 0.00 1.01
1.00000 0.37976 -0.15800 0.00000 0.00 1.01
1.00000 0.37830 -0.15632 0.00000 0.00 1.01
1.00000 0.37685 -0.15467 0.00000 0.00 1.02
1.00000 0.37539 -0.15303 0.00000 0.00 1.02
1.00000 0.37394 -0.15141 0.00000 0.00 1.02
1.00000 0.37250 -0.14981 0.00000 0.00 1.02
1.00000 0.37106 -0.14823 0.00000 0.00 1.03
1.00000 0.36963 -0.14667 0.00000 0.00 1.03
1.00000 0.36820 -0.14513 0.00000 0.00 1.03
1.00000 0.36677 -0.14361 0.00000 0.00 1.04
1.00000 0.36535 -0.14211 0.00000 0.00 1.04
1.00000 0.36393 -0.14062 0.00000 0.00 1.04
1.00000 0.36252 -0.13915 0.00000 0.00 1.05
1.00000 0.36111 -0.13770 0.00000 0.00 1.05
1.00000 0.35971 -0.13627 0.00000 0.00 1.05
1.00000 0.35831 -0.13486 0.00000 0.00 1.05
1.00000 0.35692 -0.13346 0.00000 0.00 1.06
1.00000 0.35553 -0.13208 0.00000 0.00 1.06
1.00000 0.35415 -0.13072 0.00000 0.00 1.06
1.00000 0.35277 -0.12937 0.00000 0.00 1.07
1.00000 0.35139 -0.12804 0.00000 0.00 1.07
1.00000 0.35002 -0.12672 0.00000 0.00 1.07
1.00000 0.34866 -0.12542 0.00000 0.00 1.07
1.00000 0.34730 -0.12414 0.00000 0.00 1.08
1.00000 0.34594 -0.12287 0.00000 0.00 1.08
1.00000 0.34459 -0.12162 0.00000 0.00 1.08
1.00000 0.34325 -0.12038 0.00000 0.00 1.09
1.00000 0.34191 -0.11915 0.00000 0.00 1.09
1.00000 0.34058 -0.11794 0.00000 0.00 1.09
1.00000 0.33925 -0.11675 0.00000 0.00 1.10
1.00000 0.33792 -0.11557 0.00000 0.00 1.10
1.00000 0.33660 -0.11440 0.00000 0.00 1.10
1.00000 0.33529 -0.11325 0.00000 0.00 1.11
1.00000 0.33398 -0.11211 0.00000 0.00 1.11
1.00000 0.33267 -0.11099 0.00000 0.00 1.11
1.00000 0.33137 -0.10987 0.00000 0.00 1.11
1.00000 0.33008 -0.10878 0.00000 0.00 1.12
1.00000 0.32879 -0.10769 0.00000 0.00 1.12
1.00000 0.32751 -0.10662 0.00000 0.00 1.12
1.00000 0.32623 -0.10556 0.00000 0.00 1.13
1.00000 0.32495 -0.10451 0.00000 0.00 1.13
1.00000 0.32369 -0.10347 0.00000 0.00 1.13
1.00000 0.32242 -0.10245 0.00000 0.00 1.14
1.00000 0.32116 -0.10144 0.00000 0.00 1.14
1.00000 0.31991 -0.10044 0.00000 0.00 1.14
1.00000 0.31866 -0.09945 0.00000 0.00 1.14
1.00000 0.31742 -0.09847 0.00000 0.00 1.15
1.00000 0.31618 -0.09750 0.00000 0.00 1.15
1.00000 0.31495 -0.09655 0.00000 0.00 1.15
1.00000 0.31372 -0.09561 0.00000 0.00 1.16
1.00000 0.31250 -0.09468 0.00000 0.00 1.16
1.00000 0.31128 -0.09375 0.00000 0.00 1.16
1.00000 0.31007 -0.09284 0.00000 0.00 1.17
1.00000 0.30886 -0.09194 0.00000 0.00 1.17
1.00000 0.30766 -0.09105 0.00000 0.00 1.17
1.00000 0.30646 -0.09017 0.00000 0.00 1.17
1.00000 0.30527 -0.08930 0.00000 0.00 1.18
1.00000 0.30408 -0.08844 0.00000 0.00 1.18
1.00000 0.30290 -0.08759 0.00000 0.00 1.18
1.00000 0.30172 -0.08675 0.00000 0.00 1.19
1.00000 0.30055 -0.08592 0.00000 0.00 1.19
1.00000 0.29938 -0.08510 0.00000 0.00 1.19
1.00000 0.29822 -0.08429 0.00000 0.00 1.20
1.00000 0.29707 -0.08349 0.00000 0.00 1.20
1.00000 0.29591 -0.08270 0.00000 0.00 1.20
1.00000 0.29477 -0.08191 0.00000 0.00 1.20
1.00000 0.29363 -0.08114 0.00000 0.00 1.21
1.00000 0.29249 -0.08037 0.00000 0.00 1.21
1.00000 0.29136 -0.07961 0.00000 0.00 1.21
1.00000 0.29023 -0.07886 0.00000 0.00 1.22
1.00000 0.28911 -0.07812 0.00000 0.00 1.22
1.00000 0.28799 -0.07739 0.00000 0.00 1.22
1.00000 0.28688 -0.07666 0.00000 0.00 1.23
1.00000 0.28578 -0.07595 0.00000 0.00 1.23
1.00000 0.28468 -0.07524 0.00000 0.00 1.23
1.00000 0.28358 -0.07454 0.00000 0.00 1.23
1.00000 0.28249 -0.07385 0.00000 0.00 1.24
1.00000 0.28140 -0.07316 0.00000 0.00 1.24
1.00000 0.28032 -0.07248 0.00000 0.00 1.24
1.00000 0.27924 -0.07182 0.00000 0.00 1.25
1.00000 0.27817 -0.07115 0.00000 0.00 1.25
1.00000 0.27710 -0.07050 0.00000 0.00 1.25
1.00000 0.27604 -0.06985 0.00000 0.00 1.26
1.00000 0.27498 -0.06921 0.00000 0.00 1.26
1.00000 0.27393 -0.06858 0.00000 0.00 1.26
1.00000 0.27288 -0.06795 0.00000 0.00 1.26
1.00000 0.27184 -0.06733 0.00000 0.00 1.27
1.00000 0.27080 -0.06672 0.00000 0.00 1.27
1.00000 0.26977 -0.06611 0.00000 0.00 1.27
1.00000 0.26874 -0.06551 0.00000 0.00 1.28
1.00000 0.26772 -0.06492 0.00000 0.00 1.28
1.00000 0.26670 -0.06433 0.00000 0.00 1.28
1.00000 0.26568 -0.06375 0.00000 0.00 1.29
1.00000 0.26467 -0.06318 0.00000 0.00 1.29
1.00000 0.26367 -0.06261 0.00000 0.00 1.29
1.00000 0.26267 -0.06205 0.00000 0.00 1.29
1.00000 0.26167 -0.06149 0.00000 0.00 1.30
1.00000 0.26068 -0.06095 0.00000 0.00 1.30
1.00000 0.25969 -0.06040 0.00000 0.00 1.30
1.00000 0.25871 -0.05986 0.00000 0.00 1.31
1.00000 0.25774 -0.05933 0.00000 0.00 1.31
1.00000 0.25676 -0.05881 0.00000 0.00 1.31
1.00000 0.25579 -0.05829 0.00000 0.00 1.32
1.00000 0.25483 -0.05777 0.00000 0.00 1.32
1.00000 0.25387 -0.05726 0.00000 0.00 1.32
1.00000 0.25292 -0.05676 0.00000 0.00 1.32
1.00000 0.25197 -0.05626 0.00000 0.00 1.33
1.00000 0.25102 -0.05577 0.00000 0.00 1.33
1.00000 0.25008 -0.05528 0.00000 0.00 1.33
1.00000 0.24914 -0.05480 0.00000 0.00 1.34
1.00000 0.24821 -0.05432 0.00000 0.00 1.34
1.00000 0.24728 -0.05385 0.00000 0.00 1.34
