# a0 a2 a4 a6 delta sigmaJ
1.00000 -0.15993 -0.07332 0.00000 -41.16 3.00
1.00000 -0.15995 -0.07332 0.00000 -41.04 3.00
1.00000 -0.15996 -0.07332 0.00000 -40.92 3.00
1.00000 -0.15998 -0.07331 0.00000 -40.80 3.00
1.00000 -0.15999 -0.07331 0.00000 -40.68 3.00
1.00000 -0.16001 -0.07331 0.00000 -40.56 3.00
1.00000 -0.16003 -0.07331 0.00000 -40.44 3.00
1.00000 -0.16004 -0.07331 0.00000 -40.32 3.00
1.00000 -0.16006 -0.07331 0.00000 -40.20 3.00
1.00000 -0.16008 -0.07331 0.00000 -40.08 3.00
1.00000 -0.16009 -0.07331 0.00000 -39.96 3.00
1.00000 -0.16011 -0.07331 0.00000 -39.84 3.00
1.00000 -0.16013 -0.07331 0.00000 -39.72 3.00
1.00000 -0.16014 -0.07331 0.00000 -39.60 3.00
1.00000 -0.16016 -0.07331 0.00000 -39.48 3.00
1.00000 -0.16018 -0.07331 0.00000 -39.36 3.00
1.00000 -0.16020 -0.07331 0.00000 -39.24 3.00
1.00000 -0.16021 -0.07331 0.00000 -39.12 3.00
1.00000 -0.16023 -0.07331 0.00000 -39.00 3.00
1.00000 -0.16025 -0.07331 0.00000 -38.88 3.00
1.00000 -0.16027 -0.07331 0.00000 -38.76 3.00
1.00000 -0.16028 -0.07331 0.00000 -38.64 3.00
1.00000 -0.16030 -0.07331 0.00000 -38.52 3.00
1.00000 -0.16032 -0.07331 0.00000 -38.40 3.00
1.00000 -0.16034 -0.07331 0.00000 -38.28 3.00
1.00000 -0.16036 -0.07331 0.00000 -38.16 3.00
1.00000 -0.16037 -0.07331 0.00000 -38.04 3.00
1.00000 -0.16039 -0.07331 0.00000 -37.92 3.00
1.00000 -0.16041 -0.07331 0.00000 -37.80 3.00
1.00000 -0.16043 -0.07331 0.00000 -37.68 3.00
1.00000 -0.16045 -0.07331 0.00000 -37.56 3.00
1.00000 -0.16047 -0.07331 0.00000 -37.44 3.00
1.00000 -0.16049 -0.07331 0.00000 -37.32 3.00
1.00000 -0.16051 -0.07331 0.00000 -37.20 3.00
1.00000 -0.16053 -0.07331 0.00000 -37.08 3.00
1.00000 -0.16055 -0.07331 0.00000 -36.96 3.00
1.00000 -0.16056 -0.07330 0.00000 -36.84 3.00
1.00000 -0.16058 -0.07330 0.00000 -36.72 3.00
1.00000 -0.16060 -0.07330 0.00000 -36.60 3.00
1.00000 -0.16062 -0.07330 0.00000 -36.48 3.00
1.00000 -0.16064 -0.07330 0.00000 -36.36 3.00
1.00000 -0.16066 -0.07330 0.00000 -36.24 3.00
1.00000 -0.16068 -0.07330 0.00000 -36.12 3.00
1.00000 -0.16071 -0.07330 0.00000 -36.00 3.00
1.00000 -0.16073 -0.07330 0.00000 -35.88 3.00
1.00000 -0.16075 -0.07330 0.00000 -35.76 3.00
1.00000 -0.16077 -0.07330 0.00000 -35.64 3.00
1.00000 -0.16079 -0.07330 0.00000 -35.52 3.00
1.00000 -0.16081 -0.07330 0.00000 -35.40 3.00
1.00000 -0.16083 -0.07330 0.00000 -35.28 3.00
1.00000 -0.16085 -0.07330 0.00000 -35.16 3.00
1.00000 -0.16087 -0.07330 0.00000 -35.04 3.00
1.00000 -0.16089 -0.07330 0.00000 -34.92 3.00
1.00000 -0.16092 -0.07330 0.00000 -34.80 3.00
1.00000 -0.16094 -0.07330 0.00000 -34.68 3.00
1.00000 -0.16096 -0.07330 0.00000 -34.56 3.00
1.00000 -0.16098 -0.07330 0.00000 -34.44 3.00
1.00000 -0.16101 -0.07330 0.00000 -34.32 3.00
1.00000 -0.16103 -0.07330 0.00000 -34.20 3.00
1.00000 -0.16105 -0.07330 0.00000 -34.08 3.00
1.00000 -0.16107 -0.07330 0.00000 -33.96 3.00
1.00000 -0.16110 -0.07329 0.00000 -33.84 3.00
1.00000 -0.16112 -0.07329 0.00000 -33.72 3.00
1.00000 -0.16114 -0.07329 0.00000 -33.60 3.00
1.00000 -0.16117 -0.07329 0.00000 -33.48 3.00
1.00000 -0.16119 -0.07329 0.00000 -33.36 3.00
1.00000 -0.16121 -0.07329 0.00000 -33.24 3.00
1.00000 -0.16124 -0.07329 0.00000 -33.12 3.00
1.00000 -0.16126 -0.07329 0.00000 -33.00 3.00
1.00000 -0.16129 -0.07329 0.00000 -32.88 3.00
1.00000 -0.16131 -0.07329 0.00000 -32.76 3.00
1.00000 -0.16133 -0.07329 0.00000 -32.64 3.00
1.00000 -0.16136 -0.07329 0.00000 -32.52 3.00
1.00000 -0.16138 -0.07329 0.00000 -32.40 3.00
1.00000 -0.16141 -0.07329 0.00000 -32.28 3.00
1.00000 -0.16143 -0.07329 0.00000 -32.16 3.00
1.00000 -0.16146 -0.07329 0.00000 -32.04 3.00
1.00000 -0.16149 -0.07329 0.00000 -31.92 3.00
1.00000 -0.16151 -0.07329 0.00000 -31.80 3.00
1.00000 -0.16154 -0.07329 0.00000 -31.68 3.00
1.00000 -0.16156 -0.07329 0.00000 -31.56 3.00
1.00000 -0.16159 -0.07328 0.00000 -31.44 3.00
1.00000 -0.16162 -0.07328 0.00000 -31.32 3.00
1.00000 -0.16164 -0.07328 0.00000 -31.20 3.00
1.00000 -0.16167 -0.07328 0.00000 -31.08 3.00
1.00000 -0.16170 -0.07328 0.00000 -30.96 3.00
1.00000 -0.16172 -0.07328 0.00000 -30.84 3.00
1.00000 -0.16175 -0.07328 0.00000 -30.72 3.00
1.00000 -0.16178 -0.07328 0.00000 -30.60 3.00
1.00000 -0.16181 -0.07328 0.00000 -30.48 3.00
1.00000 -0.16184 -0.07328 0.00000 -30.36 3.00
1.00000 -0.16186 -0.07328 0.00000 -30.24 3.00
1.00000 -0.16189 -0.07328 0.00000 -30.12 3.00
1.00000 -0.16192 -0.07328 0.00000 -30.00 3.00
1.00000 -0.16195 -0.07328 0.00000 -29.88 3.00
1.00000 -0.16198 -0.07328 0.00000 -29.76 3.00
1.00000 -0.16201 -0.07328 0.00000 -29.64 3.00
1.00000 -0.16204 -0.07327 0.00000 -29.52 3.00
1.00000 -0.16207 -0.07327 0.00000 -29.40 3.00
1.00000 -0.16210 -0.07327 0.00000 -29.28 3.00
1.00000 -0.16213 -0.07327 0.00000 -29.16 3.00
1.00000 -0.16216 -0.07327 0.00000 -29.04 3.00
1.00000 -0.16219 -0.07327 0.00000 -28.92 3.00
1.00000 -0.16222 -0.07327 0.00000 -28.80 3.00
1.00000 -0.16225 -0.07327 0.00000 -28.68 3.00
1.00000 -0.16228 -0.07327 0.00000 -28.56 3.00
1.00000 -0.16232 -0.07327 0.00000 -28.44 3.00
1.00000 -0.16235 -0.07327 0.00000 -28.32 3.00
1.00000 -0.16238 -0.07327 0.00000 -28.20 3.00
1.00000 -0.16241 -0.07327 0.00000 -28.08 3.00
1.00000 -0.16245 -0.07327 0.00000 -27.96 3.00
1.00000 -0.16248 -0.07326 0.00000 -27.84 3.00
1.00000 -0.16251 -0.07326 0.00000 -27.72 3.00
1.00000 -0.16255 -0.07326 0.00000 -27.60 3.00
1.00000 -0.16258 -0.07326 0.00000 -27.48 3.00
1.00000 -0.16261 -0.07326 0.00000 -27.36 3.00
1.00000 -0.16265 -0.07326 0.00000 -27.24 3.00
1.00000 -0.16268 -0.07326 0.00000 -27.12 3.00
1.00000 -0.16272 -0.07326 0.00000 -27.00 3.00
1.00000 -0.16275 -0.07326 0.00000 -26.88 3.00
